                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3167,                 1.2504,                 1.4263,                0.40946,                0.49883,                0.47678,                0.24887,                   1.71,                 2.0654,                 1.9507,              0.0003466,              0.0003466,              0.0003466
                     36,                 1.1702,                 1.1944,                 1.3614,                0.37732,                0.61361,                0.46421,                 0.2202,                 1.8936,                 2.1779,                  2.138,              0.0003268,              0.0003268,              0.0003268
                     37,                 1.2176,                 1.2574,                 1.4271,                0.61392,                0.48113,                0.45459,                0.19819,                 1.9123,                 2.1746,                 2.1681,               0.000307,               0.000307,               0.000307
                     38,                  1.221,                 1.1987,                 1.4501,                0.58927,                0.46778,                0.48871,                0.21308,                 1.8758,                 2.1526,                 2.1506,              0.0002872,              0.0002872,              0.0002872
                     39,                  1.209,                 1.1816,                 1.4095,                0.63789,                0.45037,                0.49723,                0.24334,                 1.8575,                 2.2723,                 2.1195,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.1945,                 1.1845,                 1.3637,                0.53153,                0.54478,                0.44977,                0.24359,                 1.8715,                 2.2396,                  2.121,              0.0002476,              0.0002476,              0.0002476
                     41,                  1.137,                 1.2842,                 1.3962,                0.60665,                 0.3805,                 0.4064,                0.22911,                 1.9507,                 2.4715,                  2.194,              0.0002278,              0.0002278,              0.0002278
                     42,                 1.1555,                 1.0914,                 1.4105,                 0.5403,                0.37688,                 0.3961,                0.19813,                 1.9655,                 2.5084,                 2.2012,               0.000208,               0.000208,               0.000208
                     43,                 1.1278,                 1.0783,                 1.4039,                  0.293,                0.51392,                 0.3997,                0.18203,                 1.9772,                 2.4303,                 2.2355,              0.0001882,              0.0001882,              0.0001882
                     44,                 1.0346,                0.98371,                  1.334,                0.54496,                 0.4849,                 0.4215,                0.16747,                 1.9774,                 2.5212,                  2.279,              0.0001684,              0.0001684,              0.0001684
                     45,                 1.0185,                0.95855,                 1.2775,                0.39934,                0.44868,                0.41601,                0.16855,                 1.9696,                 2.3902,                 2.2969,              0.0001486,              0.0001486,              0.0001486
                     46,                 1.0066,                0.92714,                 1.3271,                 0.3908,                0.41333,                0.38542,                0.15788,                 1.9012,                   2.31,                 2.2561,              0.0001288,              0.0001288,              0.0001288
                     47,                 1.0356,                 0.9326,                 1.3166,                0.41865,                0.42722,                0.40632,                0.18797,                 1.8692,                 2.2206,                 2.2369,               0.000109,               0.000109,               0.000109
                     48,                 0.9824,                0.92714,                 1.2867,                0.41719,                 0.4366,                0.44843,                0.19744,                   1.85,                 2.2682,                  2.201,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.99776,                0.86897,                 1.3161,                0.57134,                0.45115,                0.46981,                0.21443,                 1.8666,                 2.3387,                 2.2521,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.91903,                0.88506,                 1.2307,                0.65243,                0.39417,                0.48102,                0.22405,                 1.8612,                 2.3369,                 2.2534,               4.96e-05,               4.96e-05,               4.96e-05
